generation	clone_id	dN	dS	pN	pS
25001	1	4	7	9	7
25001	2	34	20	32	11
25001	3	10	7	10	4
25001	4	10	7	9	4
25001	5	22	6	12	4
25001	6	29	15	25	6
25001	7	22	16	11	6
25001	8	13	7	3	6
25001	9	14	12	13	10
25501	0	21	2	12	3
25501	1	5	8	9	6
25501	2	33	20	40	7
25501	3	11	6	11	2
25501	4	9	6	12	0
25501	5	19	7	15	2
25501	6	29	17	23	6
25501	7	21	15	13	11
25501	8	13	8	4	4
25501	9	15	14	12	2
26001	0	20	3	11	2
26001	1	6	9	6	3
26001	2	37	17	32	12
26001	3	11	6	6	1
26001	4	11	6	8	3
26001	5	23	7	16	7
26001	6	34	16	25	11
26001	7	21	16	17	5
26001	8	13	8	5	3
26001	9	16	15	12	8
26501	0	18	4	16	3
26501	1	7	9	13	6
26501	2	40	19	23	10
26501	3	12	5	9	1
26501	4	9	7	3	1
26501	5	24	6	11	9
26501	6	33	17	22	15
26501	7	23	16	17	8
26501	8	12	8	11	3
26501	9	16	12	10	10
27001	0	20	4	13	5
27001	1	6	10	11	4
27001	2	39	18	23	10
27001	3	11	7	5	3
27001	4	10	7	14	3
27001	5	20	8	17	6
27001	6	32	19	26	11
27001	7	22	16	12	4
27001	8	13	8	13	5
27001	9	16	15	10	5
27501	0	20	4	14	5
27501	1	8	12	8	2
27501	2	41	20	30	15
27501	3	13	5	3	3
27501	4	11	7	7	4
27501	5	21	8	17	6
27501	6	35	17	23	9
27501	7	22	18	13	9
27501	8	12	6	8	4
27501	9	14	16	13	6
28001	0	18	4	16	5
28001	1	7	12	12	2
28001	2	43	18	41	15
28001	3	13	6	11	5
28001	4	11	7	11	3
28001	5	23	8	15	7
28001	6	31	18	28	8
28001	7	21	16	15	14
28001	8	13	6	8	5
28001	9	15	15	15	4
28501	0	20	4	9	5
28501	1	9	12	5	1
28501	2	41	21	31	16
28501	3	13	7	9	4
28501	4	11	7	10	4
28501	5	23	10	13	1
28501	6	36	20	25	11
28501	7	21	18	19	9
28501	8	12	6	8	4
28501	9	15	13	16	6
29001	0	21	3	13	11
29001	1	9	10	5	0
29001	2	41	21	26	14
29001	3	9	6	6	6
29001	4	9	7	9	4
29001	5	25	10	11	5
29001	6	36	20	17	8
29001	7	20	18	18	9
29001	8	12	6	9	5
29001	9	14	15	13	5
29501	0	21	4	11	9
29501	1	9	11	4	1
29501	2	43	21	28	18
29501	3	11	7	6	4
29501	4	10	7	14	2
29501	5	24	9	17	7
29501	6	37	18	27	8
29501	7	25	16	15	10
29501	8	13	7	12	8
29501	9	16	16	7	4
30001	0	21	5	10	2
30001	1	7	11	15	5
30001	2	42	18	28	15
30001	3	13	6	8	2
30001	4	12	7	5	5
30001	5	27	10	4	8
30001	6	39	21	12	11
30001	7	23	18	13	7
30001	8	14	8	11	5
30001	9	17	13	11	3
30501	0	19	5	12	4
30501	1	8	11	14	5
30501	2	43	21	34	16
30501	3	13	7	7	2
30501	4	12	7	12	4
30501	5	24	10	13	2
30501	6	38	20	28	11
30501	7	23	17	12	8
30501	8	13	7	11	1
30501	9	17	14	10	3
31001	0	17	5	19	5
31001	1	9	10	16	1
31001	2	44	19	36	13
31001	3	13	6	9	1
31001	4	12	7	9	7
31001	5	25	10	10	4
31001	6	41	18	22	13
31001	7	25	17	11	10
31001	8	15	8	10	1
31001	9	17	16	7	8
31501	0	17	5	21	6
31501	1	9	12	13	2
31501	2	43	17	33	13
31501	3	10	7	9	1
31501	4	11	7	10	6
31501	5	26	10	11	7
31501	6	41	19	15	9
31501	7	25	18	10	7
31501	8	14	9	14	4
31501	9	17	15	3	6
32001	0	19	5	14	4
32001	1	8	11	11	1
32001	2	44	15	41	10
32001	3	14	7	9	7
32001	4	10	7	10	7
32001	5	26	10	13	9
32001	6	39	20	23	13
32001	7	25	18	11	8
32001	8	15	9	15	6
32001	9	17	15	6	8
32501	0	20	4	14	5
32501	1	9	11	10	2
32501	2	42	18	34	17
32501	3	15	7	7	6
32501	4	12	7	6	7
32501	5	28	11	15	7
32501	6	37	21	30	13
32501	7	23	17	12	9
32501	8	14	9	9	1
32501	9	16	16	8	5
33001	0	20	7	16	6
33001	1	10	11	8	2
33001	2	48	21	21	14
33001	3	15	7	4	8
33001	4	11	6	13	4
33001	5	31	12	17	10
33001	6	43	20	29	10
33001	7	23	17	15	10
33001	8	14	9	9	4
33001	9	17	16	11	8
33501	0	19	6	13	7
33501	1	10	9	8	3
33501	2	47	21	31	14
33501	3	13	9	14	1
33501	4	13	7	3	7
33501	5	28	11	18	5
33501	6	44	21	27	5
33501	7	20	16	25	8
33501	8	13	8	9	5
33501	9	15	16	14	6
34001	0	20	8	12	5
34001	1	9	11	7	4
34001	2	51	22	19	12
34001	3	12	9	7	2
34001	4	12	7	6	6
34001	5	30	13	16	11
34001	6	42	21	18	8
34001	7	26	18	18	9
34001	8	15	9	7	3
34001	9	18	17	8	3
34501	0	22	7	18	8
34501	1	10	11	9	4
34501	2	51	21	20	13
34501	3	10	9	9	4
34501	4	13	7	8	7
34501	5	32	13	15	4
34501	6	40	20	26	6
34501	7	27	19	21	6
34501	8	14	7	11	7
34501	9	18	15	13	8
35001	0	23	7	11	8
35001	1	10	10	6	1
35001	2	47	24	23	11
35001	3	11	9	13	4
35001	4	13	7	13	3
35001	5	29	13	14	5
35001	6	45	22	20	3
35001	7	25	21	14	11
35001	8	15	9	8	3
35001	9	18	16	14	6
35501	0	24	8	10	12
35501	1	10	12	5	3
35501	2	53	24	20	12
35501	3	12	6	9	6
35501	4	13	5	11	4
35501	5	34	12	10	4
35501	6	40	22	28	8
35501	7	25	19	15	9
35501	8	16	9	7	7
35501	9	17	16	12	7
36001	0	23	7	18	7
36001	1	10	13	8	1
36001	2	50	23	23	14
36001	3	12	7	11	5
36001	4	11	8	12	1
36001	5	32	13	13	7
36001	6	43	21	30	8
36001	7	26	20	14	11
36001	8	16	8	5	5
36001	9	17	18	13	6
36501	0	24	8	13	9
36501	1	10	12	9	3
36501	2	48	22	31	12
36501	3	12	7	13	5
36501	4	12	8	10	5
36501	5	31	13	14	4
36501	6	44	20	28	5
36501	7	24	21	16	9
36501	8	16	8	10	7
36501	9	16	17	15	10
37001	0	22	8	15	11
37001	1	8	12	11	4
37001	2	52	24	26	12
37001	3	15	7	13	7
37001	4	13	7	14	3
37001	5	34	12	19	3
37001	6	43	21	32	5
37001	7	27	21	15	9
37001	8	16	6	8	6
37001	9	15	19	14	10
37501	0	22	9	21	3
37501	1	8	12	6	3
37501	2	53	24	31	10
37501	3	14	7	13	9
37501	4	12	8	13	3
37501	5	34	11	5	4
37501	6	44	22	25	8
37501	7	26	19	18	8
37501	8	14	7	15	7
37501	9	18	16	12	8
38001	0	23	9	15	3
38001	1	10	13	6	5
38001	2	54	25	28	12
38001	3	14	6	14	6
38001	4	12	8	12	7
38001	5	32	13	17	3
38001	6	44	22	22	6
38001	7	25	19	24	14
38001	8	15	8	10	3
38001	9	18	18	12	12
38501	0	25	9	13	7
38501	1	10	11	6	4
38501	2	52	25	38	13
38501	3	15	6	17	7
38501	4	13	8	11	6
38501	5	34	12	14	7
38501	6	42	21	35	12
38501	7	26	20	11	13
38501	8	16	8	10	3
38501	9	19	20	10	15
39001	0	24	9	12	5
39001	1	11	14	3	2
39001	2	57	26	28	14
39001	3	21	10	3	0
39001	4	14	8	10	8
39001	5	33	12	10	4
39001	6	48	20	27	10
39001	7	26	22	13	11
39001	8	14	8	12	4
39001	9	18	20	12	8
39501	0	25	10	10	6
39501	1	11	14	6	3
39501	2	56	24	23	14
39501	3	19	9	8	3
39501	4	17	8	8	5
39501	5	38	12	15	8
39501	6	47	21	20	11
39501	7	24	23	10	7
39501	8	17	8	11	4
39501	9	18	21	18	7
40001	0	25	10	8	10
40001	1	11	14	7	4
40001	2	57	25	34	8
40001	3	22	10	5	3
40001	4	14	6	21	8
40001	5	37	10	11	6
40001	6	50	23	18	7
40001	7	23	23	13	6
40001	8	17	10	6	6
40001	9	19	22	14	6
40501	0	21	10	12	2
40501	1	10	13	9	2
40501	2	58	28	27	12
40501	3	21	8	6	1
40501	4	14	7	11	8
40501	5	35	12	18	0
40501	6	50	22	19	4
40501	7	21	22	25	7
40501	8	16	10	17	6
40501	9	17	24	12	5
41001	0	23	11	15	9
41001	1	10	14	2	0
41001	2	57	26	29	10
41001	3	19	9	11	3
41001	4	17	7	14	9
41001	5	36	13	11	4
41001	6	53	24	23	8
41001	7	26	22	23	10
41001	8	18	11	6	4
41001	9	21	23	11	9
41501	0	24	10	15	7
41501	1	9	14	9	7
41501	2	58	27	33	11
41501	3	21	9	5	3
41501	4	13	8	16	7
41501	5	34	13	18	3
41501	6	49	24	24	10
41501	7	25	19	24	9
41501	8	17	11	4	3
41501	9	20	21	15	6
42001	0	25	11	9	5
42001	1	11	12	7	2
42001	2	60	25	17	17
42001	3	23	8	6	1
42001	4	19	8	6	6
42001	5	37	14	17	5
42001	6	50	22	28	8
42001	7	29	24	20	11
42001	8	18	9	7	8
